trade,brand,equipment_scope,resource_name,resource_types,url,source_type,notes
HVAC,Goodman,"Heat pumps, air conditioners, furnaces, air handlers",Literature library,"Manuals, specs, brochures",https://www.goodmanmfg.com/support/literature-library,Official,Use model number; also check Daikin/Amana family docs.
HVAC,Daikin Comfort,"Heat pumps, AC, furnaces, ductless",Owner support center,"Manuals, brochures, warranties",https://daikincomfort.com/my-daikin-systems/owner-support-center,Official,Goodman/Amana/Daikin overlap on some systems.
HVAC,Amana HVAC,"Heat pumps, AC, furnaces",Product literature,"Manuals, specs, warranties",https://www.amana-hac.com/resources/product-literature,Official,Use model number for exact docs.
HVAC,Trane,"AC, furnace, heat pump, air handler, thermostat",Owner guides,"Owner manuals, troubleshooting, maintenance",https://www.trane.com/residential/en/resources/owners-guides/,Official,Strong homeowner support source.
HVAC,American Standard HVAC,"AC, furnace, heat pump, air handler",Owner support,"Owner guides, safety, DIY tips",https://www.americanstandardair.com/resources/owners-support/,Official,Trane family brand.
HVAC,Carrier,"AC, heat pumps, furnaces, air handlers",Product and support hub,"Product docs, owners support",https://www.carrier.com/residential/en/us/products/,Official,Carrier/Bryant/Payne family.
HVAC,Bryant,"AC, heat pumps, furnaces",Product hub,Product docs and support,https://www.bryant.com/en/us/,Official,Carrier family brand.
HVAC,Payne,"AC, heat pumps, furnaces",Product hub,Product docs and support,https://www.payne.com/en/us/,Official,Carrier family value brand.
HVAC,Lennox,"AC, heat pumps, furnaces, controls",Owner support,"Manuals, warranty, support",https://www.lennox.com/owners/support,Official,Use model number for exact docs.
HVAC,Rheem HVAC,"AC, heat pumps, furnaces",Resources,"Manuals, guides, support",https://www.rheem.com/resources/,Official,Rheem/Ruud family.
HVAC,Ruud,"AC, heat pumps, furnaces",Resources,"Manuals, guides, support",https://www.ruud.com/resources/,Official,Rheem/Ruud family.
HVAC,York,"AC, heat pumps, furnaces",Resources,"Manuals, product docs",https://www.york.com/residential-equipment/resources,Official,Johnson Controls family.
HVAC,Bosch Home Comfort,"Heat pumps, IDS systems, boilers",Technical documentation,Manuals and technical docs,https://www.bosch-homecomfort.com/us/en/residential/technical-documentation/manuals/heating-and-cooling-heat-pump-systems/,Official,Strong heat pump docs.
HVAC,Mitsubishi Electric,Ductless and ducted heat pumps,Resources,"Manuals, submittals, guides",https://www.mitsubishicomfort.com/resources,Official,Mini split and hyper heat systems.
