trade,product_families,document_types_needed
Roofing,"Shingles, metal, flat, underlayment, flashing, vents, skylights, gutters","Install instructions, detail drawings, warranty, repair guides"
HVAC,"AC, heat pump, furnace, air handler, mini split, IAQ, humidifiers","Install, owner, service, wiring, fault codes, parts lists"
Water Heating,"Gas/electric tank, tankless, HPWH, combi, boilers","Install, service, wiring, venting, error codes, parts"
Thermostats,"Smart, programmable, non-programmable, communicating","Install, wiring, setup, compatibility, user guides"
Solar/Battery,"Panels, inverters, batteries, racking, rapid shutdown","Datasheets, install, commissioning, compatibility, warranty"
Electrical,"Panels, breakers, surge, transfer switches, EV chargers","Wiring diagrams, install, compatibility, safety docs"
Plumbing,"Fixtures, valves, pumps, filtration, disposals","Install, parts diagrams, troubleshooting, warranty"
Generators,"Standby, portable, inverter, transfer switches","Owner, install, wiring, maintenance, parts"
Appliances,"Refrigerator, range, dishwasher, washer/dryer","Owner/install, error codes, wiring where available"
Windows/Doors,"Windows, exterior doors, skylights","Install, flashing, parts, warranty"
Siding/Exterior,"Vinyl, fiber cement, engineered wood, housewrap","Install, clearance, fastening, warranty"
Insulation/Air Sealing,"Batts, blown, spray foam, rigid foam","R-value, install, SDS, code guides"
Garage Doors,"Doors, openers, springs, sensors","Owner/install, troubleshooting, wiring"
Flooring/Tile,"LVP, laminate, hardwood, tile, grout","Install, substrate, warranty"
Drywall/Paint,"Drywall, joint compound, coatings, sealants","Product data, SDS, application guides"
Masonry/Concrete,"Concrete, mortar, pavers, waterproofing","Product data, SDS, structural guides"
Decks/Outdoor,"Decking, railing, fasteners","Install, span/fastening, warranty"
Pools/Spas,"Pumps, heaters, filters, automation","Manuals, wiring, error codes"
Smart Home/Security,"Cameras, locks, sensors, alarms","Setup, wiring, compatibility"
Irrigation/Landscape,"Controllers, valves, pumps, lighting","Manuals, wiring, troubleshooting"
Septic/Well,"Well pumps, pressure tanks, septic pumps","Pump curves, wiring, troubleshooting"
